item sound pos delay
123 PRAC 1 0
122 PRAC 1 0
124 PRAC 1 0
126 PRAC 1 0
121 PRAC 1 0
125 PRAC 1 0
61 STD 2 0
62 STD 3 120
63 STD 4 0
58 DEV 3 120
89 STD 2 0
45 DEV 2 0
36 DEV 5 120
20 DEV 5 120
19 DEV 4 0
117 STD 2 0
14 DEV 3 120
52 DEV 5 120
94 STD 3 120
120 STD 5 120
48 DEV 5 120
118 STD 3 120
60 DEV 5 120
56 DEV 5 120
98 STD 3 120
25 DEV 2 0
82 STD 3 120
43 DEV 4 0
102 STD 3 120
34 DEV 3 120
115 STD 4 0
90 STD 3 120
92 STD 5 120
87 STD 4 0
113 STD 2 0
103 STD 4 0
116 STD 5 120
10 DEV 3 120
22 DEV 3 120
109 STD 2 0
119 STD 4 0
64 STD 5 120
8 DEV 5 120
4 DEV 5 120
2 DEV 3 120
104 STD 5 120
77 STD 2 0
42 DEV 3 120
101 STD 2 0
35 DEV 4 0
78 STD 3 120
38 DEV 3 120
71 STD 4 0
49 DEV 2 0
81 STD 2 0
99 STD 4 0
51 DEV 4 0
83 STD 4 0
26 DEV 3 120
105 STD 2 0
66 STD 3 120
27 DEV 4 0
112 STD 5 120
70 STD 3 120
15 DEV 4 0
76 STD 5 120
80 STD 5 120
5 DEV 2 0
114 STD 3 120
23 DEV 4 0
100 STD 5 120
74 STD 3 120
41 DEV 2 0
12 DEV 5 120
44 DEV 5 120
111 STD 4 0
72 STD 5 120
54 DEV 3 120
91 STD 4 0
16 DEV 5 120
6 DEV 3 120
107 STD 4 0
96 STD 5 120
73 STD 2 0
86 STD 3 120
24 DEV 5 120
47 DEV 4 0
57 DEV 2 0
88 STD 5 120
40 DEV 5 120
75 STD 4 0
32 DEV 5 120
59 DEV 4 0
106 STD 3 120
84 STD 5 120
31 DEV 4 0
108 STD 5 120
97 STD 2 0
3 DEV 4 0
95 STD 4 0
13 DEV 2 0
110 STD 3 120
37 DEV 2 0
46 DEV 3 120
33 DEV 2 0
9 DEV 2 0
55 DEV 4 0
50 DEV 3 120
65 STD 2 0
67 STD 4 0
28 DEV 5 120
85 STD 2 0
93 STD 2 0
29 DEV 2 0
7 DEV 4 0
69 STD 2 0
11 DEV 4 0
30 DEV 3 120
17 DEV 2 0
1 DEV 2 0
53 DEV 2 0
79 STD 4 0
68 STD 5 120
39 DEV 4 0
21 DEV 2 0
18 DEV 3 120
