item sound pos delay
126 PRAC 1 0
124 PRAC 1 0
125 PRAC 1 0
121 PRAC 1 0
122 PRAC 1 0
123 PRAC 1 0
1 STD 5 0
2 STD 2 120
3 STD 3 0
104 DEV 4 120
25 STD 5 0
16 STD 4 120
64 DEV 4 120
110 DEV 2 120
60 STD 4 120
62 DEV 2 120
12 STD 4 120
20 STD 4 120
54 STD 2 120
72 DEV 4 120
21 STD 5 0
75 DEV 3 0
18 STD 2 120
109 DEV 5 0
23 STD 3 0
17 STD 5 0
48 STD 4 120
99 DEV 3 0
24 STD 4 120
31 STD 3 0
19 STD 3 0
79 DEV 3 0
8 STD 4 120
55 STD 3 0
52 STD 4 120
92 DEV 4 120
107 DEV 3 0
111 DEV 3 0
38 STD 2 120
91 DEV 3 0
28 STD 4 120
13 STD 5 0
56 STD 4 120
37 STD 5 0
83 DEV 3 0
46 STD 2 120
30 STD 2 120
86 DEV 2 120
88 DEV 4 120
120 DEV 4 120
22 STD 2 120
96 DEV 4 120
69 DEV 5 0
101 DEV 5 0
114 DEV 2 120
77 DEV 5 0
35 STD 3 0
27 STD 3 0
89 DEV 5 0
94 DEV 2 120
63 DEV 3 0
65 DEV 5 0
34 STD 2 120
7 STD 3 0
76 DEV 4 120
36 STD 4 120
53 STD 5 0
32 STD 4 120
102 DEV 2 120
93 DEV 5 0
100 DEV 4 120
6 STD 2 120
117 DEV 5 0
112 DEV 4 120
108 DEV 4 120
84 DEV 4 120
70 DEV 2 120
103 DEV 3 0
4 STD 4 120
85 DEV 5 0
9 STD 5 0
59 STD 3 0
68 DEV 4 120
106 DEV 2 120
97 DEV 5 0
40 STD 4 120
41 STD 5 0
33 STD 5 0
10 STD 2 120
66 DEV 2 120
115 DEV 3 0
98 DEV 2 120
80 DEV 4 120
73 DEV 5 0
45 STD 5 0
82 DEV 2 120
57 STD 5 0
118 DEV 2 120
39 STD 3 0
43 STD 3 0
119 DEV 3 0
29 STD 5 0
42 STD 2 120
67 DEV 3 0
90 DEV 2 120
105 DEV 5 0
113 DEV 5 0
47 STD 3 0
71 DEV 3 0
44 STD 4 120
58 STD 2 120
5 STD 5 0
49 STD 5 0
95 DEV 3 0
26 STD 2 120
61 DEV 5 0
87 DEV 3 0
15 STD 3 0
14 STD 2 120
11 STD 3 0
116 DEV 4 120
50 STD 2 120
74 DEV 2 120
81 DEV 5 0
78 DEV 2 120
51 STD 3 0
