item sound pos delay
122 PRAC 1 0
121 PRAC 1 0
125 PRAC 1 0
126 PRAC 1 0
124 PRAC 1 0
123 PRAC 1 0
1 STD 5 0
2 STD 2 120
3 STD 3 0
88 DEV 4 120
10 STD 2 120
22 STD 2 120
107 DEV 3 0
52 STD 4 120
76 DEV 4 120
116 DEV 4 120
39 STD 3 0
53 STD 5 0
44 STD 4 120
48 STD 4 120
14 STD 2 120
16 STD 4 120
50 STD 2 120
95 DEV 3 0
84 DEV 4 120
60 STD 4 120
59 STD 3 0
103 DEV 3 0
99 DEV 3 0
73 DEV 5 0
62 DEV 2 120
65 DEV 5 0
114 DEV 2 120
56 STD 4 120
119 DEV 3 0
55 STD 3 0
13 STD 5 0
61 DEV 5 0
42 STD 2 120
6 STD 2 120
57 STD 5 0
110 DEV 2 120
86 DEV 2 120
47 STD 3 0
33 STD 5 0
27 STD 3 0
23 STD 3 0
37 STD 5 0
30 STD 2 120
117 DEV 5 0
11 STD 3 0
93 DEV 5 0
5 STD 5 0
67 DEV 3 0
71 DEV 3 0
75 DEV 3 0
106 DEV 2 120
15 STD 3 0
51 STD 3 0
91 DEV 3 0
118 DEV 2 120
38 STD 2 120
8 STD 4 120
7 STD 3 0
97 DEV 5 0
108 DEV 4 120
58 STD 2 120
92 DEV 4 120
18 STD 2 120
28 STD 4 120
113 DEV 5 0
82 DEV 2 120
96 DEV 4 120
104 DEV 4 120
45 STD 5 0
63 DEV 3 0
20 STD 4 120
4 STD 4 120
98 DEV 2 120
68 DEV 4 120
34 STD 2 120
87 DEV 3 0
115 DEV 3 0
90 DEV 2 120
40 STD 4 120
43 STD 3 0
24 STD 4 120
66 DEV 2 120
89 DEV 5 0
25 STD 5 0
54 STD 2 120
80 DEV 4 120
112 DEV 4 120
81 DEV 5 0
120 DEV 4 120
105 DEV 5 0
74 DEV 2 120
31 STD 3 0
17 STD 5 0
41 STD 5 0
19 STD 3 0
100 DEV 4 120
35 STD 3 0
94 DEV 2 120
72 DEV 4 120
36 STD 4 120
49 STD 5 0
26 STD 2 120
12 STD 4 120
21 STD 5 0
29 STD 5 0
77 DEV 5 0
83 DEV 3 0
70 DEV 2 120
69 DEV 5 0
46 STD 2 120
79 DEV 3 0
102 DEV 2 120
78 DEV 2 120
64 DEV 4 120
85 DEV 5 0
101 DEV 5 0
32 STD 4 120
9 STD 5 0
109 DEV 5 0
111 DEV 3 0
