item sound pos delay
124 PRAC 1 0
122 PRAC 1 0
125 PRAC 1 0
123 PRAC 1 0
126 PRAC 1 0
121 PRAC 1 0
61 STD 3 120
62 STD 4 0
63 STD 5 120
44 DEV 2 0
98 STD 4 0
40 DEV 2 0
105 STD 3 120
75 STD 5 120
2 DEV 4 0
42 DEV 4 0
17 DEV 3 120
36 DEV 2 0
108 STD 2 0
3 DEV 5 120
46 DEV 4 0
68 STD 2 0
45 DEV 3 120
100 STD 2 0
85 STD 3 120
65 STD 3 120
39 DEV 5 120
113 STD 3 120
1 DEV 3 120
119 STD 5 120
118 STD 4 0
96 STD 2 0
58 DEV 4 0
83 STD 5 120
31 DEV 5 120
38 DEV 4 0
35 DEV 5 120
33 DEV 3 120
103 STD 5 120
29 DEV 3 120
109 STD 3 120
30 DEV 4 0
77 STD 3 120
84 STD 2 0
23 DEV 5 120
4 DEV 2 0
53 DEV 3 120
47 DEV 5 120
106 STD 4 0
27 DEV 5 120
8 DEV 2 0
6 DEV 4 0
120 STD 2 0
91 STD 5 120
54 DEV 4 0
116 STD 2 0
21 DEV 3 120
5 DEV 3 120
9 DEV 3 120
24 DEV 2 0
102 STD 4 0
90 STD 4 0
115 STD 5 120
92 STD 2 0
111 STD 5 120
93 STD 3 120
12 DEV 2 0
50 DEV 4 0
78 STD 4 0
26 DEV 4 0
34 DEV 4 0
73 STD 3 120
22 DEV 4 0
66 STD 4 0
71 STD 5 120
57 DEV 3 120
117 STD 3 120
10 DEV 4 0
104 STD 2 0
7 DEV 5 120
32 DEV 2 0
48 DEV 2 0
79 STD 5 120
72 STD 2 0
69 STD 3 120
95 STD 5 120
28 DEV 2 0
52 DEV 2 0
82 STD 4 0
87 STD 5 120
16 DEV 2 0
14 DEV 4 0
59 DEV 5 120
112 STD 2 0
110 STD 4 0
15 DEV 5 120
60 DEV 2 0
76 STD 2 0
81 STD 3 120
20 DEV 2 0
97 STD 3 120
74 STD 4 0
55 DEV 5 120
86 STD 4 0
94 STD 4 0
67 STD 5 120
19 DEV 5 120
25 DEV 3 120
64 STD 2 0
13 DEV 3 120
107 STD 5 120
88 STD 2 0
51 DEV 5 120
43 DEV 5 120
37 DEV 3 120
101 STD 3 120
49 DEV 3 120
56 DEV 2 0
114 STD 4 0
18 DEV 4 0
89 STD 3 120
80 STD 2 0
70 STD 4 0
41 DEV 3 120
99 STD 5 120
11 DEV 5 120
