item sound pos delay
121 PRAC 1 0
122 PRAC 1 0
124 PRAC 1 0
125 PRAC 1 0
126 PRAC 1 0
123 PRAC 1 0
1 STD 4 0
2 STD 5 120
3 STD 2 0
79 DEV 2 0
16 STD 3 120
22 STD 5 120
95 DEV 2 0
47 STD 2 0
31 STD 2 0
81 DEV 4 0
109 DEV 4 0
43 STD 2 0
65 DEV 4 0
32 STD 3 120
28 STD 3 120
38 STD 5 120
36 STD 3 120
113 DEV 4 0
76 DEV 3 120
7 STD 2 0
101 DEV 4 0
69 DEV 4 0
34 STD 5 120
48 STD 3 120
53 STD 4 0
11 STD 2 0
61 DEV 4 0
78 DEV 5 120
33 STD 4 0
94 DEV 5 120
4 STD 3 120
37 STD 4 0
24 STD 3 120
57 STD 4 0
77 DEV 4 0
107 DEV 2 0
13 STD 4 0
35 STD 2 0
68 DEV 3 120
119 DEV 2 0
106 DEV 5 120
99 DEV 2 0
92 DEV 3 120
50 STD 5 120
111 DEV 2 0
23 STD 2 0
54 STD 5 120
66 DEV 5 120
120 DEV 3 120
21 STD 4 0
73 DEV 4 0
6 STD 5 120
98 DEV 5 120
86 DEV 5 120
84 DEV 3 120
19 STD 2 0
45 STD 4 0
83 DEV 2 0
25 STD 4 0
62 DEV 5 120
5 STD 4 0
46 STD 5 120
41 STD 4 0
51 STD 2 0
117 DEV 4 0
15 STD 2 0
112 DEV 3 120
116 DEV 3 120
44 STD 3 120
114 DEV 5 120
91 DEV 2 0
93 DEV 4 0
17 STD 4 0
100 DEV 3 120
82 DEV 5 120
103 DEV 2 0
80 DEV 3 120
85 DEV 4 0
14 STD 5 120
105 DEV 4 0
64 DEV 3 120
87 DEV 2 0
74 DEV 5 120
29 STD 4 0
104 DEV 3 120
12 STD 3 120
27 STD 2 0
108 DEV 3 120
40 STD 3 120
70 DEV 5 120
42 STD 5 120
18 STD 5 120
52 STD 3 120
118 DEV 5 120
115 DEV 2 0
59 STD 2 0
55 STD 2 0
63 DEV 2 0
97 DEV 4 0
110 DEV 5 120
56 STD 3 120
8 STD 3 120
67 DEV 2 0
72 DEV 3 120
10 STD 5 120
88 DEV 3 120
49 STD 4 0
9 STD 4 0
60 STD 3 120
58 STD 5 120
71 DEV 2 0
20 STD 3 120
90 DEV 5 120
96 DEV 3 120
39 STD 2 0
75 DEV 2 0
89 DEV 4 0
30 STD 5 120
102 DEV 5 120
26 STD 5 120
