item sound pos delay
123 PRAC 1 0
125 PRAC 1 0
124 PRAC 1 0
121 PRAC 1 0
126 PRAC 1 0
122 PRAC 1 0
61 STD 4 120
62 STD 5 0
63 STD 2 120
120 STD 3 0
104 STD 3 0
94 STD 5 0
113 STD 4 120
77 STD 4 120
112 STD 3 0
15 DEV 2 120
46 DEV 5 0
45 DEV 4 120
80 STD 3 0
36 DEV 3 0
100 STD 3 0
25 DEV 4 120
73 STD 4 120
21 DEV 4 120
51 DEV 2 120
22 DEV 5 0
38 DEV 5 0
86 STD 5 0
74 STD 5 0
12 DEV 3 0
92 STD 3 0
60 DEV 3 0
47 DEV 2 120
1 DEV 4 120
18 DEV 5 0
55 DEV 2 120
106 STD 5 0
93 STD 4 120
85 STD 4 120
87 STD 2 120
3 DEV 2 120
20 DEV 3 0
27 DEV 2 120
35 DEV 2 120
56 DEV 3 0
107 STD 2 120
32 DEV 3 0
99 STD 2 120
95 STD 2 120
114 STD 5 0
41 DEV 4 120
2 DEV 5 0
67 STD 2 120
16 DEV 3 0
89 STD 4 120
116 STD 3 0
4 DEV 3 0
17 DEV 4 120
31 DEV 2 120
71 STD 2 120
49 DEV 4 120
83 STD 2 120
30 DEV 5 0
72 STD 3 0
64 STD 3 0
117 STD 4 120
97 STD 4 120
68 STD 3 0
5 DEV 4 120
58 DEV 5 0
8 DEV 3 0
28 DEV 3 0
91 STD 2 120
23 DEV 2 120
115 STD 2 120
29 DEV 4 120
75 STD 2 120
90 STD 5 0
81 STD 4 120
96 STD 3 0
110 STD 5 0
40 DEV 3 0
34 DEV 5 0
24 DEV 3 0
111 STD 2 120
54 DEV 5 0
53 DEV 4 120
48 DEV 3 0
79 STD 2 120
10 DEV 5 0
52 DEV 3 0
82 STD 5 0
7 DEV 2 120
84 STD 3 0
78 STD 5 0
42 DEV 5 0
103 STD 2 120
119 STD 2 120
109 STD 4 120
44 DEV 3 0
19 DEV 2 120
9 DEV 4 120
102 STD 5 0
76 STD 3 0
11 DEV 2 120
37 DEV 4 120
105 STD 4 120
13 DEV 4 120
14 DEV 5 0
65 STD 4 120
59 DEV 2 120
50 DEV 5 0
57 DEV 4 120
26 DEV 5 0
88 STD 3 0
70 STD 5 0
39 DEV 2 120
69 STD 4 120
33 DEV 4 120
101 STD 4 120
98 STD 5 0
43 DEV 2 120
6 DEV 5 0
108 STD 3 0
66 STD 5 0
118 STD 5 0
